,avg_utility,avg_nash_product,avg_social_welfare,avg_num_offers,count,agreement,failed,ERROR
SuperAgent,0.7537566662868417,0.5745387295310388,1.4515121227758774,2938.8267543859647,456,409,46,1
RGAgent,0.7265271977780694,0.6188743590488419,1.510322001660746,585.8837719298245,456,418,37,1
AgentFO2,0.7258853066910089,0.5976216466022943,1.508490000720176,1620.8508771929824,456,430,25,1
LuckyAgent2022,0.711934594702193,0.5106532603183466,1.2887887390769734,1586.1030701754387,456,365,90,1
Agent007,0.7113012837122799,0.5761619124930611,1.5369757629710517,1377.6118421052631,456,452,3,1
ProcrastinAgent,0.7077864570692977,0.44542528583698127,1.1894759038146936,2625.4495614035086,456,345,109,2
CompromisingAgent,0.7057978103798236,0.576517036100932,1.46507207139342,543.0328947368421,456,415,40,1
Agent4410,0.615685551572588,0.54046083910703,1.424380550908333,992.0679824561404,456,412,41,3
GEAAgent,0.6034077193427638,0.5352484015058614,1.3586053822574569,26.43859649122807,456,391,64,1
Pinar_Agent,0.5866222861677634,0.4310280887657077,1.0776197675537278,2370.0877192982457,456,305,138,13
BIU_agent,0.5738120862125,0.4569933863407492,1.0948989167741234,580.8092105263158,456,297,158,1
Group32Agent,0.5393040383609651,0.47464230505508725,1.1685187034848676,1525.5131578947369,456,321,134,1
DreamTeam109Agent,0.5108597363530702,0.3440186706842655,0.8707015458668852,937.578947368421,456,244,211,1
